날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계,breakfast_embedding,lunch_embedding,dinner_embedding
2021-06-30,배추김치,23.69kcal,총각김치,16.4kcal,배추김치,23.69kcal,,,2702.60kcal,,,
2021-06-03,맛김,0kcal,모듬야채,37.65kcal,고등어카레튀김,392.87kcal,,,2980.59kcal,"[1.3, 1.5, 1.2, [1, 0, 0, 0, 0]]","[3.8, 0.17, 0.87, [1, 0, 0, 0, 0]]","[7.02, 26.04, 19.45, [1, 0, 0, 0, 0]]"
2021-06-03,돼지고기감자조림,162.34kcal,배추김치,23.69kcal,깻잎무침,49.56kcal,,,2980.59kcal,"[3.09, 9.74, 15.9, [1, 0, 0, 0, 0]]",,"[9.48, 1.52, 3.37, [1, 0, 0, 0, 0]]"
2021-06-03,토마토스크램블에그,125.52kcal,수박,57.408kcal,배추김치,23.69kcal,,,2980.59kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[7.55, 0.15, 0.61, [1, 0, 0, 0, 0]]",
2021-06-03,총각김치,16.4kcal,,,포도 주스,84.51kcal,,,2980.59kcal,,"[0, 0, 0, [0, 0, 0, 0, 1]]","[37.85, 0.2, 1.42, [1, 0, 0, 0, 0]]"
2021-06-03,우유(백색우유(200ML,122kcal,,,,,,,2980.59kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-04,밥,363kcal,밥,363kcal,밥,363kcal,,,2738.97kcal,,,
2021-06-04,새우순두부계란탕,92.09kcal,호박된장국,40.56kcal,돼지고기육개장,140.92kcal,,,2738.97kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[9.0, 0.9, 3.0, [1, 0, 0, 0, 0]]","[6.0, 4.3, 8.0, [1, 0, 0, 0, 0]]"
2021-06-04,감자채볶음,128.96kcal,브로콜리돼지목살볶음,236.14kcal,맛김,0kcal,,,2738.97kcal,"[15.24, 6.03, 1.63, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[1.3, 1.5, 1.2, [1, 0, 0, 0, 0]]"
2021-06-04,쇠고기꽈리고추조림,190.1kcal,아귀순살튀김,489.79kcal,오징어젓무침,38.19kcal,,,2738.97kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0.5, 0.2, 14.1, [1, 0, 0, 0, 0]]","[34.0, 1.7, 9.0, [1, 0, 0, 0, 0]]"
2021-06-04,배추김치,23.69kcal,총각김치,16.4kcal,부추겉절이,18.93kcal,,,2738.97kcal,,,"[5.46, 1.66, 3.02, [1, 0, 0, 0, 0]]"
2021-06-04,우유(백색우유(200ML,122kcal,짜먹는요구르트,76.8kcal,배추김치,23.69kcal,,,2738.97kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[12.0, 5.0, 6.0, [1, 0, 0, 0, 0]]",
2021-06-04,,,,,대추방울토마토,23.69kcal,,,2738.97kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[3.54, 0.18, 0.79, [1, 0, 0, 0, 0]]"
2021-06-05,불고기버거,783.3kcal,밥,363kcal,밥,363kcal,,,2996.16kcal,"[50.0, 22.0, 20.0, [1, 0, 0, 0, 0]]",,
2021-06-05,우유(백색우유(200ML,244kcal,감자양파찌개,60.69kcal,짬뽕찌개,134.19kcal,,,2996.16kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[14.04, 1.86, 2.04, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-05,토마토,8.91kcal,쇠고기느타리버섯잡채,107.32kcal,두부김치,283.97kcal,,,2996.16kcal,"[3.92, 0.2, 0.88, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]",
2021-06-05,,,오징어채야채무침,101.81kcal,들깨순볶음,73.88kcal,,,2996.16kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[3.38, 2.99, 4.8, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-05,,,배추김치,23.69kcal,총각김치,16.4kcal,,,2996.16kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]",,
2021-06-05,,,아이스크림 샌드위치,252kcal,감귤 주스,180kcal,,,2996.16kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[21.75, 5.6, 2.61, [1, 0, 0, 0, 0]]","[25.79, 0.5, 1.74, [1, 0, 0, 0, 0]]"
2021-06-06,밥,363kcal,밥,363kcal,밥,363kcal,,,2770.01kcal,,,
2021-06-06,된장찌개,62.68kcal,맑은육개장,68.66kcal,감자국,38.49kcal,,,2770.01kcal,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[9.86, 3.52, 4.54, [1, 0, 0, 0, 0]]"
2021-06-06,닭순살피망볶음,193.62kcal,버섯야채볶음,112.4kcal,돈육굴소스양배추볶음,238.63kcal,,,2770.01kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[6.3, 2.39, 3.27, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-06,꽈리고추멸치조림,135.48kcal,마파두부,375.37kcal,오이양파장아찌,37.11kcal,,,2770.01kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[2.39, 7.87, 8.47, [1, 0, 0, 0, 0]]","[3.74, 0.32, 0.55, [1, 0, 0, 0, 0]]"
2021-06-06,혼합시리얼,115kcal,배추김치,23.69kcal,배추김치,23.69kcal,,,2770.01kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]",,
2021-06-06,배추김치,23.69kcal,유산균 발효유,84.5kcal,망고 주스,26kcal,,,2770.01kcal,,"[28.0, 0.0, 8.0, [1, 0, 0, 0, 0]]","[36.0, 0.0, 1.0, [1, 0, 0, 0, 0]]"
2021-06-06,우유(백색우유(200ML,122kcal,,,,,,,2770.01kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-07,밥,363kcal,잡곡밥,394.87kcal,불닭덮밥,662.35kcal,,,2703.90kcal,,,
2021-06-07,쇠고기미역국,31.5kcal,김계란국,68.43kcal,된장국,18.6kcal,,,2703.90kcal,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]","[5.0, 2.0, 2.0, [1, 0, 0, 0, 0]]","[9.93, 1.85, 5.55, [1, 0, 0, 0, 0]]"
2021-06-07,돼지고기호박볶음,70.98kcal,대왕오징어제육볶음,397.61kcal,맛김,0kcal,,,2703.90kcal,"[2.86, 9.51, 8.69, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[1.3, 1.5, 1.2, [1, 0, 0, 0, 0]]"
2021-06-07,두부조림,179.31kcal,브로콜리&초고추장,76.46kcal,감자샐러드,142.92kcal,,,2703.90kcal,"[2.51, 9.94, 6.42, [1, 0, 0, 0, 0]]","[7.14, 0.41, 2.37, [1, 0, 0, 0, 0]]","[18.0, 8.0, 2.0, [1, 0, 0, 0, 0]]"
2021-06-07,배추김치,23.69kcal,배추김치,23.69kcal,배추김치,23.69kcal,,,2703.90kcal,,,
2021-06-07,우유(백색우유(200ML,122kcal,멜론,64.8kcal,배 주스,40kcal,,,2703.90kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[8.16, 0.19, 0.84, [1, 0, 0, 0, 0]]","[34.21, 0.25, 0.0, [1, 0, 0, 0, 0]]"
2021-06-08,밥,363kcal,밥,363kcal,밥,363kcal,,,3081.63kcal,,,
2021-06-08,팽이버섯국,27.94kcal,감자수제비국,49.63kcal,얼큰북어채국,59.32kcal,,,3081.63kcal,"[6.1, 0.7, 1.4, [1, 0, 0, 0, 0]]","[66.44, 6.59, 15.81, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-08,돼지고기청경채볶음,294.18kcal,부추잡채,215.24kcal,쇠고기갈비찜,449.76kcal,,,3081.63kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[7.79, 9.59, 14.16, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-08,계란찜,107.61kcal,코다리강정,385.25kcal,삼색초나물,35.72kcal,,,3081.63kcal,"[2.07, 10.11, 10.05, [1, 0, 0, 0, 0]]","[10.53, 10.07, 16.4, [1, 0, 0, 0, 0]]","[49.0, 15.0, 16.0, [1, 0, 0, 0, 0]]"
2021-06-08,배추김치,23.69kcal,김자반,21.5kcal,배추김치,23.69kcal,,,3081.63kcal,,"[3.93, 4.58, 3.51, [1, 0, 0, 0, 0]]",
2021-06-08,우유(백색우유(200ML,122kcal,배추김치,23.69kcal,오렌지 주스,96kcal,,,3081.63kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]",,"[25.79, 0.5, 1.74, [1, 0, 0, 0, 0]]"
2021-06-08,,,수박,57.408kcal,,,,,3081.63kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[7.55, 0.15, 0.61, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-09,밥,363kcal,밥,363kcal,잡곡밥,394.87kcal,,,3002.30kcal,,,
2021-06-09,호박된장국,40.56kcal,느타리버섯배추국,24.9kcal,계란조갯살찌개,93.87kcal,,,3002.30kcal,"[9.0, 0.9, 3.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-09,쇠고기불낙볶음,91.43kcal,닭튀김,786.44kcal,마늘멸치볶음,105.92kcal,,,3002.30kcal,"[3.91, 6.23, 10.92, [1, 0, 0, 0, 0]]","[7.49, 12.58, 16.03, [1, 0, 0, 0, 0]]","[4.7, 2.46, 4.98, [1, 0, 0, 0, 0]]"
2021-06-09,감자매운조림,109.93kcal,오이고추장무침,35.59kcal,두부두루치기,310.21kcal,,,3002.30kcal,"[6.66, 1.68, 0.79, [1, 0, 0, 0, 0]]","[4.0, 0.0, 1.0, [1, 0, 0, 0, 0]]","[32.0, 17.0, 31.0, [1, 0, 0, 0, 0]]"
2021-06-09,배추김치,23.69kcal,총각김치,16.4kcal,배추김치,23.69kcal,,,3002.30kcal,,,
2021-06-09,우유(백색우유(200ML,122kcal,신선형),38kcal,이온음료,58.8kcal,,,3002.30kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[54.73, 2.3, 11.31, [1, 0, 0, 0, 0]]","[38.0, 0.0, 0.0, [1, 0, 0, 0, 0]]"
2021-06-10,밥,363kcal,밥,363kcal,밥,363kcal,,,2759.76kcal,,,
2021-06-10,감자호박국,31.27kcal,근대된장국,39.92kcal,두부고추장찌개,72.77kcal,,,2759.76kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[5.82, 1.36, 3.47, [1, 0, 0, 0, 0]]","[13.53, 2.9, 6.9, [1, 0, 0, 0, 0]]"
2021-06-10,가지굴소스볶음,50.47kcal,오리훈제야채볶음,253.48kcal,제육볶음,339.05kcal,,,2759.76kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[10.37, 11.03, 13.21, [1, 0, 0, 0, 0]]"
2021-06-10,돈육표고장조림,210.44kcal,부추겉절이,18.93kcal,배추찜,48.39kcal,,,2759.76kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[5.46, 1.66, 3.02, [1, 0, 0, 0, 0]]","[2.18, 0.2, 1.5, [1, 0, 0, 0, 0]]"
2021-06-10,배추김치,23.69kcal,파김치,21.24kcal,총각김치,16.4kcal,,,2759.76kcal,,"[3.13, 0.12, 0.76, [1, 0, 0, 0, 0]]",
2021-06-10,우유(백색우유(200ML,122kcal,라면,365kcal,사과 주스,46kcal,,,2759.76kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[55.68, 14.54, 7.9, [1, 0, 0, 0, 0]]","[28.97, 0.27, 0.15, [1, 0, 0, 0, 0]]"
2021-06-10,,,대추방울토마토,11.7144943kcal,,,,,2759.76kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[3.54, 0.18, 0.79, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-11,밥,363kcal,잡곡밥,394.87kcal,밥,363kcal,,,2978.68kcal,,,
2021-06-11,된장찌개,62.68kcal,무두부조개탕,47.93kcal,감자짜글이,122.58kcal,,,2978.68kcal,"[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[32.0, 1.8, 5.0, [1, 0, 0, 0, 0]]"
2021-06-11,비엔나소시지야채볶음,330.48kcal,마늘불고기,146.37kcal,돈가스,506.88kcal,,,2978.68kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[30.0, 10.0, 10.9, [1, 0, 0, 0, 0]]","[24.56, 30.6, 45.16, [1, 0, 0, 0, 0]]"
2021-06-11,맛김,0kcal,모듬쌈,68.06kcal,오징어브로콜리숙회,94.08kcal,,,2978.68kcal,"[1.3, 1.5, 1.2, [1, 0, 0, 0, 0]]","[2.32, 0.11, 0.55, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-11,멸치깻잎조림,69.27kcal,총각김치,16.4kcal,배추김치,23.69kcal,,,2978.68kcal,"[4.37, 8.46, 17.7, [1, 0, 0, 0, 0]]",,
2021-06-11,배추김치,23.69kcal,블루베리,35.7kcal,복숭아 주스,188kcal,,,2978.68kcal,,"[12.17, 0.64, 0.42, [1, 0, 0, 0, 0]]","[32.66, 0.08, 0.8, [1, 0, 0, 0, 0]]"
2021-06-11,우유(백색우유(200ML,122kcal,,,,,,,2978.68kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-12,햄슬라이스버거,689.63kcal,밥,363kcal,밥,363kcal,,,2795.80kcal,"[0.0, 10.0, 16.0, [1, 0, 0, 0, 0]]",,
2021-06-12,계란후라이,108.96kcal,김치국,40.14kcal,순두부찌개,119.7kcal,,,2795.80kcal,"[0.43, 6.76, 6.24, [1, 0, 0, 0, 0]]","[1.39, 1.63, 1.62, [1, 0, 0, 0, 0]]","[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]"
2021-06-12,우유(백색우유(200ML,244kcal,감자채볶음,128.96kcal,돼지고기호박볶음,70.98kcal,,,2795.80kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[15.24, 6.03, 1.63, [1, 0, 0, 0, 0]]","[2.86, 9.51, 8.69, [1, 0, 0, 0, 0]]"
2021-06-12,토마토,8.91kcal,닭매운양념조림,262.35kcal,생선묵조림,214.16kcal,,,2795.80kcal,"[3.92, 0.2, 0.88, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[5.74, 2.81, 11.97, [1, 0, 0, 0, 0]]"
2021-06-12,,,총각김치,16.4kcal,배추김치,23.69kcal,,,2795.80kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]",,
2021-06-12,,,수박,57.408kcal,포도 주스,84.51kcal,,,2795.80kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[7.55, 0.15, 0.61, [1, 0, 0, 0, 0]]","[37.85, 0.2, 1.42, [1, 0, 0, 0, 0]]"
2021-06-13,밥,363kcal,밥,363kcal,밥,363kcal,,,2704.93kcal,,,
2021-06-13,새우맑은짬뽕,67.54kcal,쇠고기무국,56.23kcal,버섯두부탕,39.77kcal,,,2704.93kcal,"[81.0, 3.8, 9.0, [1, 0, 0, 0, 0]]","[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-13,닭고기양배추볶음,252.55kcal,애호박조갯살나물,51.76kcal,들깨순볶음,73.88kcal,,,2704.93kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-13,계란찜,107.61kcal,돼지고기김치찜,146.69kcal,닭간장소스찜,262.32kcal,,,2704.93kcal,"[2.07, 10.11, 10.05, [1, 0, 0, 0, 0]]","[13.16, 21.34, 34.87, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-13,혼합시리얼,115kcal,총각김치,16.4kcal,배추김치,23.69kcal,,,2704.93kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]",,
2021-06-13,배추김치,23.69kcal,감귤 주스,180kcal,짜먹는요구르트,76.8kcal,,,2704.93kcal,,"[25.79, 0.5, 1.74, [1, 0, 0, 0, 0]]","[12.0, 5.0, 6.0, [1, 0, 0, 0, 0]]"
2021-06-13,우유(백색우유(200ML,122kcal,,,,,,,2704.93kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-14,조밥,380.85kcal,밥,363kcal,밥,363kcal,,,2778.19kcal,,,
2021-06-14,얼큰한오징어국,63.84kcal,쇠고기얼갈이배춧국,53.48kcal,무국,37.91kcal,,,2778.19kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[5.51, 2.66, 1.1, [1, 0, 0, 0, 0]]"
2021-06-14,감자잡채,128.39kcal,조기튀김,319.5kcal,돼지고기고추장볶음,460.76kcal,,,2778.19kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[39.0, 6.0, 11.0, [1, 0, 0, 0, 0]]"
2021-06-14,오이무침,21.57kcal,꽈리고추가지찜,47.24kcal,맛김,0kcal,,,2778.19kcal,"[7.72, 1.55, 1.58, [1, 0, 0, 0, 0]]","[16.77, 1.01, 2.91, [1, 0, 0, 0, 0]]","[1.3, 1.5, 1.2, [1, 0, 0, 0, 0]]"
2021-06-14,배추김치,23.69kcal,총각김치,16.4kcal,풋고추된장무침,56.87kcal,,,2778.19kcal,,,"[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-14,우유(백색우유(200ML,122kcal,아이스크림 콘,270kcal,배추김치,23.69kcal,,,2778.19kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[22.82, 7.91, 3.06, [1, 0, 0, 0, 0]]",
2021-06-14,,,,,망고 주스,26kcal,,,2778.19kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[36.0, 0.0, 1.0, [1, 0, 0, 0, 0]]"
2021-06-15,밥,363kcal,잡곡밥,394.87kcal,밥,363kcal,,,2710.64kcal,,,
2021-06-15,계란국,62.76kcal,돼지고기김치찌개,90.99kcal,된장찌개,62.68kcal,,,2710.64kcal,"[0.97, 1.08, 1.58, [1, 0, 0, 0, 0]]","[6.38, 8.09, 8.17, [1, 0, 0, 0, 0]]","[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]"
2021-06-15,쇠고기파프리카볶음,111.88kcal,맑은오징어볶음,145.25kcal,매콤새송이버섯볶음,75.8kcal,,,2710.64kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[8.66, 4.59, 12.41, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-06-15,꽈리고추멸치조림,135.48kcal,브로콜리&초고추장,76.46kcal,데리야끼갈릭치킨,531.89kcal,,,2710.64kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[7.14, 0.41, 2.37, [1, 0, 0, 0, 0]]","[20.0, 7.0, 19.0, [1, 0, 0, 0, 0]]"
2021-06-15,배추김치,23.69kcal,총각김치,16.4kcal,배추김치,23.69kcal,,,2710.64kcal,,,
2021-06-15,우유(백색우유(200ML,122kcal,멜론,64.8kcal,사과 주스,46kcal,,,2710.64kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[8.16, 0.19, 0.84, [1, 0, 0, 0, 0]]","[28.97, 0.27, 0.15, [1, 0, 0, 0, 0]]"
2021-06-16,밥,363kcal,밥,363kcal,찹쌀밥,416.85kcal,,,2742.61kcal,,,
2021-06-16,쇠고기미역국,31.5kcal,배추된장국,33.49kcal,닭곰탕,194.43kcal,,,2742.61kcal,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]","[8.64, 2.01, 3.8, [1, 0, 0, 0, 0]]","[1.87, 4.75, 18.72, [1, 0, 0, 0, 0]]"
2021-06-16,생선묵볶음,179.26kcal,버섯잡채,65.78kcal,모듬야채,37.65kcal,,,2742.61kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[67.0, 10.0, 2.0, [1, 0, 0, 0, 0]]","[3.8, 0.17, 0.87, [1, 0, 0, 0, 0]]"
2021-06-16,감자간장조림,114.61kcal,삼겹살된장볶음,418.36kcal,오징어젓무침,38.19kcal,,,2742.61kcal,"[6.66, 1.68, 0.79, [1, 0, 0, 0, 0]]","[6.36, 24.33, 10.9, [1, 0, 0, 0, 0]]","[34.0, 1.7, 9.0, [1, 0, 0, 0, 0]]"
2021-06-16,배추김치,23.69kcal,총각김치,16.4kcal,배추김치,23.69kcal,,,2742.61kcal,,,
2021-06-16,우유(백색우유(200ML,122kcal,배 주스,40kcal,대추방울토마토,11.7144943kcal,,,2742.61kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[34.21, 0.25, 0.0, [1, 0, 0, 0, 0]]","[3.54, 0.18, 0.79, [1, 0, 0, 0, 0]]"
2021-05-19,오이나물,44.69kcal,계란후라이,97.91kcal,감자마늘쫑조림,77.79kcal,,,2762.90kcal,"[27.7, 1.2, 2.0, [1, 0, 0, 0, 0]]","[0.43, 6.76, 6.24, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-05-19,백김치,15.12kcal,배추김치,23.44kcal,깍두기,28.75kcal,,,2762.90kcal,"[4.75, 0.19, 1.21, [1, 0, 0, 0, 0]]",,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]"
2021-05-19,우유(백색우유(200ML,122kcal,아이스크림,270kcal,,,,,2762.90kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[32.45, 14.26, 4.68, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-05-20,닭죽,564.63kcal,잡곡밥,382.97kcal,밥,363kcal,,,2717.71kcal,"[5.52, 12.18, 27.21, [1, 0, 0, 0, 0]]",,
2021-05-20,맛김,5.25kcal,명태미나리된장찌개,70.7kcal,쇠고기미역국,31.5kcal,,,2717.71kcal,"[1.3, 1.5, 1.2, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]"
2021-05-20,꽈리고추멸치조림,107.48kcal,오리훈제야채볶음,315.27kcal,두부튀김양념,520.71kcal,,,2717.71kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[10.49, 20.18, 17.19, [1, 0, 0, 0, 0]]"
2021-05-20,깍두기,28.75kcal,콩나물매운무침,74.1kcal,부추나물,25.16kcal,,,2717.71kcal,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]","[5.99, 1.13, 2.31, [1, 0, 0, 0, 0]]","[7.09, 0.99, 1.69, [1, 0, 0, 0, 0]]"
2021-05-20,우유(백색우유(200ML,122kcal,배추김치,23.44kcal,깍두기,28.75kcal,,,2717.71kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]",,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]"
2021-05-20,,,컵과일,54kcal,,,,,2717.71kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[16.0, 0.0, 1.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-05-21,밥,363kcal,쫄면,829.32kcal,밥,363kcal,,,3803.30kcal,,"[43.29, 1.54, 4.55, [1, 0, 0, 0, 0]]",
2021-05-21,순두부국,77.1kcal,만두튀김,480.49kcal,근대된장국,41.2kcal,,,3803.30kcal,"[3.61, 2.62, 4.01, [1, 0, 0, 0, 0]]","[10.31, 3.15, 3.53, [1, 0, 0, 0, 0]]","[5.82, 1.36, 3.47, [1, 0, 0, 0, 0]]"
2021-05-21,버섯잡채,66.47kcal,단무지,5.58kcal,돼지고기수육,1067.76kcal,,,3803.30kcal,"[67.0, 10.0, 2.0, [1, 0, 0, 0, 0]]","[0.98, 0.06, 0.21, [1, 0, 0, 0, 0]]","[1.59, 9.12, 20.91, [1, 0, 0, 0, 0]]"
2021-05-21,맑은오징어볶음,149.85kcal,배추김치,23.44kcal,양배추쌈,65.9kcal,,,3803.30kcal,"[8.66, 4.59, 12.41, [1, 0, 0, 0, 0]]",,"[5.58, 0.12, 1.44, [1, 0, 0, 0, 0]]"
2021-05-21,깍두기,28.75kcal,농후 발효유,96kcal,배추김치,23.44kcal,,,3803.30kcal,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]","[25.94, 0.0, 0.25, [1, 0, 0, 0, 0]]",
2021-05-21,우유(백색우유(200ML,122kcal,,,,,,,3803.30kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-05-22,핫도그빵,983.5kcal,밥,363kcal,밥,363kcal,,,2715.78kcal,"[24.74, 2.16, 4.75, [1, 0, 0, 0, 0]]",,
2021-05-22,우유(백색우유(200ML,244kcal,된장찌개,67.08kcal,호박고추장찌개,122.61kcal,,,2715.78kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]","[13.53, 2.9, 6.9, [1, 0, 0, 0, 0]]"
2021-05-22,토마토,8.91kcal,매운쇠고기찜,148.18kcal,게맛살어묵볶음,147.4kcal,,,2715.78kcal,"[3.92, 0.2, 0.88, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-05-22,,,오이양파장아찌,52.25kcal,멸치깻잎조림,67.66kcal,,,2715.78kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[3.74, 0.32, 0.55, [1, 0, 0, 0, 0]]","[4.37, 8.46, 17.7, [1, 0, 0, 0, 0]]"
2021-05-22,,,깍두기,28.75kcal,배추김치,23.44kcal,,,2715.78kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]",
2021-05-22,,,오렌지 주스,96kcal,,,,,2715.78kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[25.79, 0.5, 1.74, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-05-23,밥,363kcal,밥,363kcal,밥,363kcal,,,2708.81kcal,,,
2021-05-23,팽이버섯국,30.5kcal,콩나물국,33.37kcal,김치국,40.14kcal,,,2708.81kcal,"[6.1, 0.7, 1.4, [1, 0, 0, 0, 0]]","[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]","[1.39, 1.63, 1.62, [1, 0, 0, 0, 0]]"
